time,connect,request 
0,24.554,279.217 
10,24.554,522.304 
20,213.615,5246.976 
30,213.615,5378.874 
40,213.615,38398.209 
50,519.092,43414.479 
60,519.092,45354.253 
70,519.092,45354.253 
80,519.092,45354.253 
90,519.092,45354.253 
100,519.092,59715.268 
110,519.092,59883.794 
120,519.092,59883.794 
130,519.092,59883.794 
140,519.092,59883.794 
150,519.092,59883.794 
160,519.092,59883.794 
170,519.092,59883.794 
180,519.092,59979.608 
190,519.092,59979.608 
200,519.092,59979.608 
210,519.092,59979.608 
220,519.092,59979.608 
230,519.092,59979.608 
240,519.092,59979.608 
250,519.092,59979.608 
260,519.092,59979.608 
270,519.092,59979.608 
275,519.092,59979.608 
