time,size_sent,size_rcv 
0,15.03359375,116.82265625 
10,48.5765625,267.88359375 
20,96.590625,473.75078125 
30,133.90546875,724.31328125 
40,223.1078125,1133.1953125 
50,295.6375,1462.1765625 
60,383.625,1928.83828125 
70,537.8359375,2680.21171875 
80,720.62265625,3559.6625 
90,951.44609375,4591.2921875 
100,1319.9765625,6262.5 
110,1823.4453125,8118.58828125 
120,2291.76171875,9153.27421875 
130,2698.50234375,9877.63359375 
140,3040.61328125,10443.9453125 
150,3324.075,10881.35859375 
160,3564.88046875,11248.8828125 
170,3758.77890625,11552.453125 
180,3889.803125,11768.44375 
190,3978.8203125,11888.9 
200,4028.85703125,11967.54296875 
210,4071.0609375,12027.04921875 
220,4101.17890625,12065.0828125 
230,4162.65859375,12145.33515625 
240,4204.125,12209.1390625 
250,4226.30234375,12234.21484375 
260,4237.109375,12247.8078125 
