time,size_sent,size_rcv 
0,22.6625,141.12265625 
10,54.2875,333.98515625 
20,94.86953125,491.1125 
30,134.759375,671.79375 
40,217.97109375,1017.284375 
50,328.32578125,1459.11484375 
60,457.91640625,1952.50546875 
70,627.071875,2655.890625 
80,787.9109375,3286.090625 
90,961.1421875,4138.42421875 
100,1173.0734375,4966.1578125 
110,1543.50234375,5738.12109375 
120,1909.1890625,6280.98359375 
130,2238.42109375,6861.56875 
140,2733.8859375,7923.4453125 
150,3105.1921875,8606.740625 
160,3344.16953125,9035.77734375 
170,3527.36953125,9358.81015625 
180,3607.85546875,9499.16875 
190,3662.3265625,9594.9484375 
200,3694.37109375,9660.7484375 
210,3718.98046875,9704.28828125 
220,3736.64453125,9733.18515625 
230,3745.28515625,9747.5921875 
240,3745.8984375,9749.1234375 
250,3745.8984375,9751.1046875 
258,3750.97734375,9757.81328125 
