time,page 
0,121.39666666666669 
10,133.55916071428572 
20,143.78780555555556 
30,0 
40,11505.492243902438 
50,5799.401525423726 
60,6672.222937500001 
70,13636.494684210527 
80,3666.7510888888887 
90,2680.3568626865695 
100,95.58394247038918 
110,2377.4001250000006 
120,1780.336454281566 
130,4372.36167170625 
140,5170.384019464716 
150,2178.1206370757222 
160,3775.72960352423 
170,11745.720658823535 
180,5159.701099999997 
190,4962.944301587305 
200,32381.849445454536 
210,25862.848806451613 
220,4462.232814814815 
230,7376.901714285715 
240,14324.665727272724 
250,8724.252333333332 
260,35768.49632098765 
270,11945.460613636369 
280,3040.9682727272725 
290,0 
300,0 
310,0 
320,0 
330,59395.68 
340,59562.57907692307 
350,59310.10825 
360,59766.20733333333 
370,59032.968 
380,89706.4995 
390,99805.12766666665 
400,107561.93769999998 
410,59619.4905 
