time,connect,request 
0,19.095,357.138 
10,19.095,670.545 
20,19.095,670.545 
30,19.095,31511.148 
40,19.095,34661.009 
50,19.095,35148.071 
60,19.095,37185.119 
70,19.095,37185.119 
80,19.095,59931.916 
90,19.095,59931.916 
100,19.095,59931.916 
110,19.095,59983.692 
120,19.095,59983.692 
130,19.095,59990.294 
140,19.095,59990.294 
150,19.095,59990.755 
160,41.924,60962.537 
170,41.924,60962.537 
180,41.924,60962.537 
190,41.924,60962.537 
200,41.924,60962.537 
210,41.924,60962.537 
220,41.924,60962.537 
230,41.924,60962.537 
240,41.924,60997.28 
250,41.924,60999.817 
260,41.924,60999.817 
