time,size_sent,size_rcv 
0,14.075,93.675 
10,25.16953125,105.76484375 
20,21.48828125,91.91484375 
30,35.5125,169.41171875 
40,19.43125,122.45703125 
50,34.23203125,201.828125 
60,9.6984375,6.8234375 
70,6.21484375,0 
80,7.63828125,2.13828125 
90,15.62890625,3.47109375 
100,15.79453125,2.74609375 
110,39.23125,6.36171875 
120,19.871875,4.43125 
130,8.5453125,4.11953125 
140,6.66484375,2.8453125 
150,547.453125,148.8015625 
160,376.16015625,85.134375 
170,365.72734375,85.1484375 
180,186.06328125,38.503125 
190,132.7421875,31.50625 
200,75.546875,20.1734375 
210,49.48984375,13.9296875 
220,17.11484375,4.4921875 
230,5.3140625,2.2078125 
240,16.4828125,4.371875 
250,18.23046875,2.4796875 
260,11.9109375,0.9703125 
